Personnel_ID,Branch_ID,Unit_ID,Name,Gender,Designation,Hire_Date,Salary,Email,Service_Status,Years_of_Experience,DOB,Phone_No,Address
P001,AG38,WCC,Gaurav Joshi,M,Director General,2020-05-01,2200000,gauravjoshi92@gmail.com,Active,17,1991-11-05,4321098765,666,Gurukul,Ahmedabad,Gujarat
P002,AG38,NAR,Harsh Shah,M,Unit Commander,2020-12-02,1200000,harshshah12@gmail.com,Active,12,1997-04-15,3210987654,777,Chandkheda,Ahmedabad,Gujarat
P003,AG38,HMC,Manish Shah,M,Unit Commander,2020-01-18,1600000,manishshah25@gmail.com,Active,13,1998-08-30,2109876546,901,Paldi,Ahmedabad,Gujarat
P004,AG38,WCC,Mayur Patel,M,Unit Commander,2020-05-03,1200000,mayurpatel31@gmail.com,Active,14,1990-05-20,9988776652,234,Naranpura,Ahmedabad,Gujarat
P005,AG38,FRS,Rina Desai,F,Unit Commander,2021-01-28,1400000,rinadesai88@gmail.com,Active,15,1995-07-14,9876543202,345,Memnagar,Ahmedabad,Gujarat
P006,AG38,NAR,Pratik Patel,M,Narcotics Investigator,2020-01-24,500000,pratikpatel49@gmail.com,Active,10,1993-06-20,9876543203,111,Bodakdev,Ahmedabad,Gujarat
P007,AG38,FRS,Eshan Patel,M,Senior Forensic Expert,2020-05-01,700000,eshanpatel05@gmail.com,Active,10,1987-08-28,9988776651,234,Chandkheda,Ahmedabad,Gujarat
P008,AG38,FRS,Falguni Desai,F,Junior Forensic Expert,2021-10-03,500000,falgunidesai77@gmail.com,Active,5,1995-07-14,9876543202,345,Bopal,Ahmedabad,Gujarat
P009,AG38,FRS,Gaurav Patel,M,Crime Scene Investigator,2020-12-01,700000,gauravpatel03@gmail.com,Active,7,1993-06-20,9876543203,111,Sabarmati,Ahmedabad,Gujarat
P010,AG38,NAR,Hemant Patel,M,Undercover Agent,2021-05-01,800000,hemantpatel02@gmail.com,Active,8,1992-05-10,9876543210,111,Naroda,Ahmedabad,Gujarat
P011,AG38,NAR,Manan Patel,M,Toxicologist,2020-02-18,500000,mananpatel97@gmail.com,Active,6,1987-08-28,9988776651,234,Ambawadi,Ahmedabad,Gujarat
P012,AG38,WCC,Prakash Desai,M,Financial Crimes Investigator,2021-10-03,700000,prakashdesai09@gmail.com,Active,8,1990-04-23,2109876446,901,Vastrapur,Ahmedabad,Gujarat
P013,AG38,WCC,Sarika Shah,F,WCC Specialist,2020-05-01,500000,sarikashah98@gmail.com,Active,6,1994-08-28,1098765335,123,Thaltej,Ahmedabad,Gujarat
P014,AG38,WCC,Mitesh Patel,M,WCC Specialist,2021-01-28,800000,miteshpatel64@gmail.com,Active,5,1992-09-19,6543210880,456,Bopal,Ahmedabad,Gujarat
P015,AG38,WCC,Preeti Desai,F,WCC Analyst,2020-12-02,500000,preetidesai19@gmail.com,Active,6,1990-12-22,5432109779,567,Vastrapur,Ahmedabad,Gujarat
P016,AG38,HMC,Kamal Shah,M,Senior Homicide Investigator,2020-01-18,800000,kamalshah01@gmail.com,Inactive,18,1996-05-15,4321098668,678,Shahibaug,Ahmedabad,Gujarat
P017,AG38,HMC,Hina Patel,F,Senior Homicide Investigator,2020-05-03,700000,hinapatel92@gmail.com,Active,8,1992-03-10,3210987557,789,Satellite,Ahmedabad,Gujarat
P187,AG38,HMC,Esha Desai,F,Junior Homicide Investigator,2021-01-24,500000,eshadesai25@gmail.com,Active,5,1993-03-25,6543210987,444,Vastrapur,Ahmedabad,Gujarat
P018,CT60,HMC,Priya Raj,F,Director General,2020-10-01,2000000,priyaraj94@gmail.com,Active,15,1994-08-28,1098765338,123,T. Nagar,Chennai,Tamil Nadu
P019,CT60,CTR,Karan Menon,M,Unit Commander,2020-10-01,1400000,karanmenon87@gmail.com,Active,15,1987-08-28,9988776655,234,Anna Nagar East,Chennai,Tamil Nadu
P020,CT60,FRD,Arjun Sharma,M,Unit Commander,2020-01-18,1200000,arjunsharma93@gmail.com,Active,12,1993-06-20,9876543201,111,Perambur,Chennai,Tamil Nadu
P021,CT60,HMC,Vikas Kumar,M,Unit Commander,2021-12-03,1400000,vikaskumar90@gmail.com,Active,14,1990-04-23,2109876447,901,Royapettah,Chennai,Tamil Nadu
P022,CT60,CYC,Sneha Iyer,F,Unit Commander,2020-01-28,1600000,snehaiyer95@gmail.com,Active,13,1995-07-14,9876543201,345,Triplicane,Chennai,Tamil Nadu
P023,CT60,NAR,Rohan Iyengar,M,Unit Commander,2021-05-01,1200000,rohan.iyengar96@gmail.com,Active,11,1996-05-15,4321098665,678,Teynampet,Chennai,Tamil Nadu
P024,CT60,FRD,Ruchi Gupta,F,Cheif Forensic Expert,2020-02-22,800000,ruchigupta92@gmail.com,Active,9,1992-03-10,3210987556,789,Nungambakkam,Chennai,Tamil Nadu
P025,CT60,FRD,Siddharth Iyer,M,Crime Scene Investigator,2021-10-01,700000,siddharthiyer90@gmail.com,Active,8,1990-05-20,9988776650,234,Medavakkam,Chennai,Tamil Nadu
P026,CT60,CTR,Swati Menon,F,Counter-Terrorism Analyst,2020-03-22,800000,swatimenon95@gmail.com,Active,10,1995-07-14,9876543214,345,Saidapet,Chennai,Tamil Nadu
P027,CT60,CTR,Vikas Sharma,M,Counter-Terrorism Investigator,2021-05-01,500000,vikassharma92@gmail.com,Active,9,1992-09-19,6543210883,456,Velachery,Chennai,Tamil Nadu
P028,CT60,CTR,Prerna Reddy,F,Field Operations Specialist,2020-02-18,800000,prernareddy90@gmail.com,Active,9,1990-12-22,5432109774,567,Ashok Nagar,Chennai,Tamil Nadu
